"symbol","age","tau","pval"
"A2M",1,0.00195605219505425,0.987577456160035
"A2M",2,0.00195605219505425,0.987577456160035
"A2M",3,0.00195605219505425,0.987577456160035
"A2M",4,0.0177436376899733,0.909802042868713
"A2M",5,0.00978026097527126,0.937947456842939
"A2M",6,0.0136923653653798,0.913210539170715
"A2M",7,0.02661545653496,0.865063335390232
"A2M",8,0.00978026097527126,0.937947456842939
"A2M",9,0.0489013048763563,0.697091610005963
"A2M",10,0.0841102443873328,0.503170782883981
"AAMDC",1,0.32666071657406,0.00931731154766672
"AAMDC",2,0.314924403403734,0.0121841135849343
"AAMDC",3,0.369693864865253,0.00325336214591344
"AAMDC",4,0.354872753799467,0.0234657915531192
"AAMDC",5,0.436199639497098,0.00051639376047853
"AAMDC",6,0.459672265837749,0.000253255642922808
"AAMDC",7,0.381488210334427,0.0148631250712932
"AAMDC",8,0.2992759858433,0.0172092315610888
"AAMDC",9,0.244506524381781,0.0516250333942386
"AAMDC",10,0.213209689260913,0.0896725206330046
"AASDHPPT",1,-0.00978026097527126,0.937947456842939
"AASDHPPT",2,-0.0723739312170073,0.564554878380413
"AASDHPPT",3,-0.0723739312170073,0.564554878380413
"AASDHPPT",4,-0.10646182613984,0.49667580355082
"AASDHPPT",5,-0.166264436579611,0.185686370050533
"AASDHPPT",6,-0.17017654096972,0.175548806933976
"AASDHPPT",7,-0.0887181884498666,0.571093904872995
"AASDHPPT",8,-0.0410770960961393,0.743690911122529
"AASDHPPT",9,-0.0723739312170073,0.564554878380413
"AASDHPPT",10,-0.0215165741455968,0.864011651069106
"AASS",1,-0.193649167310371,0.123212675778864
"AASS",2,-0.123231288288418,0.326637781784253
"AASS",3,-0.0489013048763563,0.697091610005963
"AASS",4,0.0354872753799467,0.820753087882979
"AASS",5,0.0528134092664648,0.674200988594365
"AASS",6,0.0841102443873328,0.503170782883981
"AASS",7,0.10646182613984,0.49667580355082
"AASS",8,0.131055497068635,0.29686095913384
"AASS",9,0.131055497068635,0.29686095913384
"AASS",10,0.146703914629069,0.242908260904324
"AATK",1,-0.146703914629069,0.242908260904324
"AATK",2,-0.123231288288418,0.326637781784253
"AATK",3,-0.0880223487774413,0.483522059868049
"AATK",4,-0.07984636960488,0.610193641672568
"AATK",5,-0.0841102443873328,0.503170782883981
"AATK",6,-0.111494975118092,0.374815795464601
"AATK",7,-0.115333644984827,0.461503403354307
"AATK",8,-0.0723739312170073,0.564554878380413
"AATK",9,-0.103670766337875,0.409253012360812
"AATK",10,-0.111494975118092,0.374815795464601
"ABAT",1,0.103670766337875,0.409253012360812
"ABAT",2,0.14279181023896,0.255702002493809
"ABAT",3,0.138879705848852,0.268956636034226
"ABAT",4,0.141949101519787,0.364773966469587
"ABAT",5,0.123231288288418,0.326637781784253
"ABAT",6,0.0841102443873328,0.503170782883981
"ABAT",7,0.10646182613984,0.49667580355082
"ABAT",8,0.111494975118092,0.374815795464601
"ABAT",9,0.00195605219505425,0.987577456160035
"ABAT",10,-0.138879705848852,0.268956636034226
"ABCA1",1,-0.342309134134494,0.00643509123155914
"ABCA1",2,-0.342309134134494,0.00643509123155914
"ABCA1",3,-0.365781760475145,0.00359598842144782
"ABCA1",4,-0.328257297264507,0.0360970627957936
"ABCA1",5,-0.389254386815796,0.00194551682697133
"ABCA1",6,-0.365781760475145,0.00359598842144782
"ABCA1",7,-0.221795471124667,0.156745361568199
"ABCA1",8,-0.134967601458743,0.282675456589956
"ABCA1",9,-0.123231288288418,0.326637781784253
"ABCA1",10,-0.103670766337875,0.409253012360812
"ABCA2",1,-0.0645497224367903,0.607385322987401
"ABCA2",2,-0.0997586619477668,0.42715530818277
"ABCA2",3,-0.146703914629069,0.242908260904324
"ABCA2",4,-0.124205463829813,0.42776753510831
"ABCA2",5,-0.181912854140045,0.147614803134156
"ABCA2",6,-0.240594419991673,0.0554788079635868
"ABCA2",7,-0.301641840729547,0.0541168582446168
"ABCA2",8,-0.2992759858433,0.0172092315610888
"ABCA2",9,-0.287539672672975,0.0220917372257929
"ABCA2",10,-0.232770211211456,0.0639070891216836
"ABCA5",1,0.0762860356071158,0.543698832125305
"ABCA5",2,0.0645497224367903,0.607385322987401
"ABCA5",3,-0.0332528873159223,0.791248558234055
"ABCA5",4,-0.05323091306992,0.733958413378193
"ABCA5",5,-0.127143392678526,0.31151480355771
"ABCA5",6,-0.197561271700479,0.115818912933217
"ABCA5",7,-0.283898203039573,0.0698917182515485
"ABCA5",8,-0.32666071657406,0.00931731154766672
"ABCA5",9,-0.287539672672975,0.0220917372257929
"ABCA5",10,-0.271891255112541,0.0304469271164065
"ABCB1",1,-0.240594419991673,0.0554788079635868
"ABCB1",2,-0.232770211211456,0.0639070891216836
"ABCB1",3,-0.181912854140045,0.147614803134156
"ABCB1",4,-0.1330772826748,0.395513155563941
"ABCB1",5,-0.0723739312170073,0.564554878380413
"ABCB1",6,0.0919344531675498,0.464297359476929
