symbol,sample,region,age,log2_rpkm,pc1,mean_rpkm,mean_nl_residuals
NUP93,HSB103,A1C,91,4.0197746699781,-3.6381361781909503,4.09565224610737,4.17273317548594
NUP93,HSB103,DLPFC,91,3.92179486528568,1.1882166584793201,4.09565224610737,4.074753370793521
NUP93,HSB103,IPC,91,3.6764805692176004,2.0284257134885704,4.09565224610737,3.8294390747254403
NUP93,HSB103,ITC,91,3.98014140600399,2.79700452869668,4.09565224610737,4.13309991151183
NUP93,HSB103,M1,91,3.7733509755109,-2.3847810426672598,4.09565224610737,3.9263094810187398
NUP93,HSB103,MFC,91,4.32776402327522,0.444456492467492,4.09565224610737,4.48072252878306
NUP93,HSB103,OFC,91,4.43192690982194,1.82268099129458,4.09565224610737,4.58488541532978
NUP93,HSB103,S1,91,3.86412303620166,-3.38016871629282,4.09565224610737,4.0170815417095
NUP93,HSB103,V1,91,3.6470869764099105,0.34286980422210805,4.09565224610737,3.80004548191775
NUP93,HSB103,VLPFC,91,4.15441778410385,0.597562123840126,4.09565224610737,4.30737628961169
NUP93,HSB107,A1C,147,4.0195995346082505,-3.6381361781909503,4.09565224610737,3.68201273283647
NUP93,HSB107,DLPFC,147,4.6712096280586906,1.1882166584793201,4.09565224610737,4.33362282628691
NUP93,HSB107,IPC,147,4.280717180668709,2.0284257134885704,4.09565224610737,3.9431303788969303
NUP93,HSB107,ITC,147,4.746926587493769,2.79700452869668,4.09565224610737,4.409339785721991
NUP93,HSB107,M1,147,4.19323469285228,-2.3847810426672598,4.09565224610737,3.8556478910805
NUP93,HSB107,MFC,147,4.46699326102844,0.444456492467492,4.09565224610737,4.129406459256661
NUP93,HSB107,OFC,147,4.81118277099371,1.82268099129458,4.09565224610737,4.47359596922193
NUP93,HSB107,S1,147,4.096393683584879,-3.38016871629282,4.09565224610737,3.7588068818131
NUP93,HSB107,STC,147,4.4719718182566695,0.18186962466214898,4.09565224610737,4.13438501648489
NUP93,HSB107,V1,147,4.36819471839617,0.34286980422210805,4.09565224610737,4.0306079166243896
NUP93,HSB107,VLPFC,147,4.30676662810811,0.597562123840126,4.09565224610737,3.96917982633633
NUP93,HSB113,A1C,84,3.6964262228568,-3.6381361781909503,4.09565224610737,4.0311009185647295
NUP93,HSB113,DLPFC,84,3.88262231352817,1.1882166584793201,4.09565224610737,4.2172970092360895
NUP93,HSB113,IPC,84,3.87618480607558,2.0284257134885704,4.09565224610737,4.210859501783499
NUP93,HSB113,ITC,84,3.9660258985359502,2.79700452869668,4.09565224610737,4.30070059424387
NUP93,HSB113,M1,84,3.7188604684955298,-2.3847810426672598,4.09565224610737,4.05353516420345
NUP93,HSB113,MFC,84,3.6830342344340803,0.444456492467492,4.09565224610737,4.0177089301420095
NUP93,HSB113,OFC,84,4.06666744453784,1.82268099129458,4.09565224610737,4.4013421402457595
NUP93,HSB113,S1,84,3.8213457201477303,-3.38016871629282,4.09565224610737,4.156020415855649
NUP93,HSB113,V1,84,3.3955765652813796,0.34286980422210805,4.09565224610737,3.7302512609893
NUP93,HSB113,VLPFC,84,4.0845873170416,0.597562123840126,4.09565224610737,4.4192620127495195
NUP93,HSB114,A1C,91,4.28877137675324,-3.6381361781909503,4.09565224610737,4.713233874404071
NUP93,HSB114,DLPFC,91,3.54896613223046,1.1882166584793201,4.09565224610737,3.9734286298812904
NUP93,HSB114,IPC,91,3.36948016371301,2.0284257134885704,4.09565224610737,3.79394266136384
NUP93,HSB114,ITC,91,3.54527439930948,2.79700452869668,4.09565224610737,3.96973689696031
NUP93,HSB114,M1,91,3.35103419745014,-2.3847810426672598,4.09565224610737,3.77549669510097
NUP93,HSB114,MFC,91,3.8410072765688104,0.444456492467492,4.09565224610737,4.26546977421964
NUP93,HSB114,OFC,91,4.0694875334538105,1.82268099129458,4.09565224610737,4.49395003110464
NUP93,HSB114,S1,91,3.5347323544631295,-3.38016871629282,4.09565224610737,3.95919485211396
NUP93,HSB114,STC,91,3.36482187091228,0.18186962466214898,4.09565224610737,3.7892843685631097
NUP93,HSB114,V1,91,3.31650651578956,0.34286980422210805,4.09565224610737,3.7409690134403903
NUP93,HSB114,VLPFC,91,3.52491532173356,0.597562123840126,4.09565224610737,3.9493778193843903
NUP93,HSB149,A1C,91,4.66023828763198,-3.6381361781909503,4.09565224610737,4.87058265136268
NUP93,HSB149,DLPFC,91,3.7911911299296004,1.1882166584793201,4.09565224610737,4.0015354936603
NUP93,HSB149,IPC,91,3.79396109879585,2.0284257134885704,4.09565224610737,4.00430546252655
NUP93,HSB149,ITC,91,4.19754194362297,2.79700452869668,4.09565224610737,4.40788630735367
NUP93,HSB149,M1,91,3.59207115070521,-2.3847810426672598,4.09565224610737,3.80241551443591
NUP93,HSB149,MFC,91,3.6532100128929503,0.444456492467492,4.09565224610737,3.86355437662365
NUP93,HSB149,OFC,91,4.17081390858243,1.82268099129458,4.09565224610737,4.3811582723131295
NUP93,HSB149,S1,91,3.46524222521893,-3.38016871629282,4.09565224610737,3.6755865889496295
NUP93,HSB149,STC,91,4.03395813112632,0.18186962466214898,4.09565224610737,4.24430249485702
NUP93,HSB149,V1,91,3.57628207187454,0.34286980422210805,4.09565224610737,3.7866264356052404
NUP93,HSB149,VLPFC,91,3.9660192516951502,0.597562123840126,4.09565224610737,4.17636361542585
NUP93,HSB150,A1C,84,3.4371628747807597,-3.6381361781909503,4.09565224610737,3.97287747176969
NUP93,HSB150,DLPFC,84,3.4816535002219395,1.1882166584793201,4.09565224610737,4.017368097210871
