age,sample,symbol,fit,upper,lower
80.0,HSB103,NUP93,3.5032572377688096,3.7925718316209704,3.21394264391666
83.6734693877551,HSB103,NUP93,3.61658240221573,3.86965951380606,3.3635052906254
87.3469387755102,HSB103,NUP93,3.7297112078648,3.95107704112848,3.5083453746011095
91.0204081632653,HSB103,NUP93,3.8414205810895896,4.037952546100819,3.64488861607837
94.6938775510204,HSB103,NUP93,3.9501529907201998,4.13085585805805,3.76945012338235
98.3673469387755,HSB103,NUP93,4.05435072324803,4.2288657422344,3.87983570426165
102.04081632653099,HSB103,NUP93,4.15245606516448,4.32878859711969,3.9761235332092704
105.714285714286,HSB103,NUP93,4.24291130296098,4.42572965070884,4.06009295521312
109.387755102041,HSB103,NUP93,4.324158723128931,4.514472868080389,4.1338445781774595
113.061224489796,HSB103,NUP93,4.3946406121597406,4.59043244680535,4.198848777514129
116.734693877551,HSB103,NUP93,4.452799259776451,4.6499695748306795,4.25562894472222
120.408163265306,HSB103,NUP93,4.497614604072679,4.69134792686767,4.3038812812777
124.081632653061,HSB103,NUP93,4.53010100300479,4.71709542944197,4.34310657656762
127.755102040816,HSB103,NUP93,4.55175392888481,4.73135444117833,4.37215341659129
131.428571428571,HSB103,NUP93,4.56406885402477,4.7387796969300595,4.38935801111948
135.102040816327,HSB103,NUP93,4.56854125073669,4.74383402409072,4.39324847738266
138.775510204082,HSB103,NUP93,4.56666659133261,4.74970684856706,4.38362633409816
142.448979591837,HSB103,NUP93,4.5599403481245595,4.757587341844769,4.36229335440436
146.122448979592,HSB103,NUP93,4.54985799342457,4.76699395421787,4.332722032631279
149.79591836734699,HSB103,NUP93,4.5379145080092504,4.77671479980367,4.29911421621484
153.469387755102,HSB103,NUP93,4.525255489717219,4.78547247474924,4.265038504685201
157.142857142857,HSB103,NUP93,4.512063860410571,4.7922378076131205,4.23188991320802
160.816326530612,HSB103,NUP93,4.4983581600202,4.79642861353387,4.20028770650653
164.489795918367,HSB103,NUP93,4.484156928476991,4.79775856739305,4.17055528956092
168.16326530612199,HSB103,NUP93,4.46947870571184,4.79611977066404,4.1428376407596295
171.836734693878,HSB103,NUP93,4.45434203165563,4.7915169049406705,4.11716715837058
175.510204081633,HSB103,NUP93,4.43876544623926,4.78402997813071,4.0935009143478
179.183673469388,HSB103,NUP93,4.42276748939361,4.7737931059247405,4.0717418728624795
182.85714285714297,HSB103,NUP93,4.406366701049571,4.7609825681411,4.05175083395805
186.530612244898,HSB103,NUP93,4.389581621138039,4.74581044401311,4.03335279826297
190.20408163265301,HSB103,NUP93,4.3724307895899095,4.72852173140521,4.0163398477746
193.877551020408,HSB103,NUP93,4.35493274633605,4.70939367373299,4.00047181893911
197.551020408163,HSB103,NUP93,4.33710603130737,4.68873639621345,3.9854756664012903
201.224489795918,HSB103,NUP93,4.31896918443475,4.66689405457557,3.97104431429393
204.89795918367298,HSB103,NUP93,4.30054074564908,4.644245605108639,3.95683588618952
208.57142857142898,HSB103,NUP93,4.28183925488126,4.6212040705541,3.94247443920842
212.244897959184,HSB103,NUP93,4.26288325206216,4.59821288294221,3.92755362118212
215.91836734693902,HSB103,NUP93,4.24369127712269,4.57573768779197,3.9116448664533996
219.591836734694,HSB103,NUP93,4.22428186999373,4.5542521535259,3.8943115864615603
223.265306122449,HSB103,NUP93,4.20467357060616,4.53421716248978,3.8751299787225495
226.938775510204,HSB103,NUP93,4.18488491889089,4.51605445158896,3.8537153861928304
230.612244897959,HSB103,NUP93,4.1649344547788,4.50011806230773,3.8297508472498705
234.285714285714,HSB103,NUP93,4.144840718200779,4.48666894298528,3.80301249341627
237.959183673469,HSB103,NUP93,4.12462224908771,4.475858457317099,3.77338604085832
241.63265306122398,HSB103,NUP93,4.1042975873705,4.46772465842813,3.7408705163128597
245.30612244897998,HSB103,NUP93,4.08388527298002,4.462201593731191,3.70556895222885
248.979591836735,HSB103,NUP93,4.06340384584717,4.45913835070819,3.66766934098615
252.65306122449,HSB103,NUP93,4.04287184590284,4.45832267769765,3.6274210141080294
256.326530612245,HSB103,NUP93,4.0223078130779095,4.459504265080691,3.58511136107513
260.0,HSB103,NUP93,4.00173022496891,4.46241452553931,3.54104592439852
