region,metric,value,PC1
A1C,fa,-0.0026290259482738,-3.6381361781909463
A1C,ficvf,0.004998459399286198,-3.6381361781909463
A1C,md,-2.155137847632024e-05,-3.6381361781909463
A1C,myelin,0.17105208282417794,-3.6381361781909463
A1C,odi,0.014598533609852693,-3.6381361781909463
A1C,thickness,-0.06758283231837692,-3.6381361781909463
DLPFC,fa,0.0035652994875490784,1.1882166584793228
DLPFC,ficvf,0.005053303858089692,1.1882166584793228
DLPFC,md,-4.398899375579208e-05,1.1882166584793228
DLPFC,myelin,0.10418533769568827,1.1882166584793228
DLPFC,odi,0.006929746748717158,1.1882166584793228
DLPFC,thickness,-0.03329408903096698,1.1882166584793228
IPC,fa,0.006480906637975722,2.028425713488574
IPC,ficvf,0.010543574615668405,2.028425713488574
IPC,md,-4.764772279465708e-05,2.028425713488574
IPC,myelin,0.09174210329715149,2.028425713488574
IPC,odi,0.0034181277225200923,2.028425713488574
IPC,thickness,-0.009094813686641778,2.028425713488574
ITC,fa,-0.005837314371089072,2.797004528696676
ITC,ficvf,-0.0063738550371379155,2.797004528696676
ITC,md,-3.8791241808567136e-05,2.797004528696676
ITC,myelin,0.0986392986543847,2.797004528696676
ITC,odi,-0.0018212352593318104,2.797004528696676
ITC,thickness,-0.0050818344481304845,2.797004528696676
M1,fa,0.008250382726979533,-2.3847810426672624
M1,ficvf,0.01298381257243253,-2.3847810426672624
M1,md,-4.339547811864201e-05,-2.3847810426672624
M1,myelin,0.12576972842250211,-2.3847810426672624
M1,odi,-0.0019961445198871663,-2.3847810426672624
M1,thickness,-0.0575640875878809,-2.3847810426672624
MFC,fa,0.004586399977855926,0.4444564924674919
MFC,ficvf,0.00020816914951007903,0.4444564924674919
MFC,md,-2.5521207236684114e-05,0.4444564924674919
MFC,myelin,0.0948375716137333,0.4444564924674919
MFC,odi,-0.004212575618260106,0.4444564924674919
MFC,thickness,-0.0188086720992362,0.4444564924674919
OFC,fa,0.0002517280133737809,1.8226809912945832
OFC,ficvf,-0.014894018129014558,1.8226809912945832
OFC,md,-6.412914176056033e-05,1.8226809912945832
OFC,myelin,0.088804853536252,1.8226809912945832
OFC,odi,-0.00462566567532402,1.8226809912945832
OFC,thickness,-0.04669944948807769,1.8226809912945832
S1,fa,0.010345573731314561,-3.38016871629282
S1,ficvf,0.015228293772324708,-3.38016871629282
S1,md,-4.608419685796965e-05,-3.38016871629282
S1,myelin,0.14628488728342637,-3.38016871629282
S1,odi,-0.0004073630511052806,-3.38016871629282
S1,thickness,-0.0300278369298268,-3.38016871629282
STC,fa,0.0005493853917165337,0.1818696246621488
STC,ficvf,0.00911877774382372,0.1818696246621488
STC,md,-3.680723777181008e-05,0.1818696246621488
STC,myelin,0.12346580929303674,0.1818696246621488
STC,odi,0.01112527722629092,0.1818696246621488
STC,thickness,-0.021510257828421864,0.1818696246621488
V1,fa,0.008869735979527213,0.3428698042221081
V1,ficvf,0.009599099554175455,0.3428698042221081
V1,md,-5.86637254299542e-05,0.3428698042221081
V1,myelin,0.15415841033685296,0.3428698042221081
V1,odi,-0.008581554383526313,0.3428698042221081
V1,thickness,-0.036554424257803975,0.3428698042221081
VLPFC,fa,0.004379320593507069,0.5975621238401259
VLPFC,ficvf,0.0033724844672619325,0.5975621238401259
VLPFC,md,-4.149010935718231e-05,0.5975621238401259
VLPFC,myelin,0.09219402482060457,0.5975621238401259
VLPFC,odi,-0.0046900836539659485,0.5975621238401259
VLPFC,thickness,-0.02389949608876263,0.5975621238401259
