gene,cluster,study,cluster_study,class,timing
OMG,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
RP11-35N6.1,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
SCRG1,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
PDGFRA,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
BRINP3,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
GPR17,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
GRID2,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
AC007682.1,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
LRR1,Oligo_prenatal,psychENCODE,Oligo_prenatal_psychENCODE,oligodendrocyte,mature
CLU,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
FKBP10,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
MT3,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
S100A13,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
HOPX,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
CCDC80,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
ATP1A2,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
ATP1B2,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
RP11-113I24.1,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
PTN,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
GFAP,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
SLCO1C1,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
LRIG1,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
CST3,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
SLC6A11,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
C21ORF62,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
EGFR,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
NCAN,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
RP11-561I11.3,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
PEA15,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
AGT,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
RNU6-116P,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
LGR6,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
LINC01279,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
FAM107A,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
RHOJ,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
SEZ6L,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
DIO2,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
TNC,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
LRRC16A,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
SLC1A2,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
SLC25A48,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
AQP4,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
LINC00943,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
CLDN10,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
NPNT,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
SLC13A5,Astro_prenatal,psychENCODE,Astro_prenatal_psychENCODE,astrocyte,mature
FABP3,ExN_prenatal,psychENCODE,ExN_prenatal_psychENCODE,neuron_excitatory,mature
LRRC7,ExN_prenatal,psychENCODE,ExN_prenatal_psychENCODE,neuron_excitatory,mature
CLVS1,ExN_prenatal,psychENCODE,ExN_prenatal_psychENCODE,neuron_excitatory,mature
