gene,cluster,study,cluster_study,class,timing
RPL4,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
PCM1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
KIF5B,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
CFL1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
DNAJA1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
HNRNPK,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
SMC3,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
HSP90AB1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
CBX1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
CKAP5,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPL37,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
DEK,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPS17,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPS15,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
MT-CO2,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
NFIB,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
SRSF3,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
NAP1L1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
LUC7L3,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
PNISR,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPL24,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
CCNB1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
C1orf61,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
HMGN1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPS7,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
MYEF2,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPL5,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
MT-ND5,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPL7A,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
DYNLL1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
EZR,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPS9,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
EZH2,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
KIF11,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
H2AFV,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPL23A,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
DDAH2,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
ENC1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPL8,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
CKB,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
ILF3,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RACK1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
VIM,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
TCF4,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
FUS,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPL27,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
CCDC88A,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPL35,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RAN,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
ARGLU1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
HNRNPA0,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPL30,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
CDK1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
MAP2,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
SOX2,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPS5,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
KNL1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
TPT1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPS12,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
CKAP2L,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
BIRC5,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPL9,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
KIF4A,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
MYL6,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPL26,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPL41,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPL39,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
GTSE1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
LBR,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
NDC80,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPS21,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
NASP,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPS28,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
PPIA,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
KIF15,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
BUB1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPL18,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RBM25,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
PNN,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPL38,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
KHDRBS1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
SFRP1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
ANP32A,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
HNRNPH1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
TUBB4B,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
SEPT11,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPL12,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
CCNI,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
HSPA8,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
MEIS2,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
KPNA2,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
MAP4K4,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
SON,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
SET,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RTN4,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
PBK,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
TUBB2A,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
EIF1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
ATRX,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
BUB3,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
PTPRZ1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
BRD8,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
FUBP1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
PHIP,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
KIF20B,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
WSB1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
MORF4L1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
SRP14,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
ECT2,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPL18A,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
PEBP1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
FABP5,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
SMARCA5,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
SPAG9,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
NFIA,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
NCAPG,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RTN3,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
CBX5,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
SRSF11,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
BUB1B,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
EIF4G2,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
TMSB15A,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPSA,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
CNTRL,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
NACA,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
SMC2,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
GPM6A,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
LMNB1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
MORF4L2,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
TTK,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
NPM1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
NDUFA4,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
HIST1H1D,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
SERF2,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
AURKA,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
BASP1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
TTC3,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
PRRC2C,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
YWHAZ,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
LDHB,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
DDX17,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
USP1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
CCNB2,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
COX8A,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
NR2F1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
ARHGAP11A,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
TACC3,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
DYNC1I2,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
SKA2,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
ERH,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
JUN,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
SUGP2,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
H1FX,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
FAU,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPL10A,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
YWHAB,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
ZEB1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
TPR,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
PPP1R17,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
HDAC2,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
UBA52,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
HES6,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
KIF21A,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
CDK5RAP2,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
HMGN3,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RBM39,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
CHD4,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
INCENP,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPL36A,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPL36,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
FOS,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
MDK,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
KNSTRN,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
SYNCRIP,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
SKP1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
SGO1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
CEP70,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
FXR1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
EID1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
SF3B1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
COX7C,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
HSPD1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
SRSF10,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
KIF14,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
ILF2,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
YTHDC1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
CCNA2,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
ACIN1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
GNAS,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
GSTP1,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RBM8A,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
FKBP3,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
TRA2B,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
MGEA5,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
KIF2C,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
KIF23,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
H1F0,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
POU3F3,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RSRC2,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
NREP,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
PSMA7,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
MT-ND2,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
BAZ2B,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
LINC00461,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
C11orf58,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
RPL22,Cycling progenitor G2/M phase (PgG2M),geschwind,Cycling progenitor G2/M phase (PgG2M)_geschwind,progenitor,precursor
