cluster_study,cluster,class,study,timing,umap1,umap2
Radial_glia_pollen,Radial_glia,radial_glia,pollen,precursor,4.47691011428833,-2.398228406906128
nEN-early1_kriegstein,nEN-early1,neuron_excitatory,kriegstein,mature,0.5104039311408997,-0.09768220782279968
nEN-early2_kriegstein,nEN-early2,neuron_excitatory,kriegstein,mature,0.12159232795238495,-0.1852255016565323
nEN-late_kriegstein,nEN-late,neuron_excitatory,kriegstein,mature,0.16661898791790009,-0.8048251271247864
nIN1_kriegstein,nIN1,neuron_inhibitory,kriegstein,mature,-1.3921542167663574,-1.4169431924819946
nIN2_kriegstein,nIN2,neuron_inhibitory,kriegstein,mature,-0.6562575697898865,-0.7580506205558777
nIN3_kriegstein,nIN3,neuron_inhibitory,kriegstein,mature,-1.1170315742492676,-1.2459561824798584
nIN4_kriegstein,nIN4,neuron_inhibitory,kriegstein,mature,-1.6653621196746826,-0.9656096696853638
nIN5_kriegstein,nIN5,neuron_inhibitory,kriegstein,mature,-0.8702077865600586,-0.9556410312652588
oRG_geschwind,oRG,radial_glia,geschwind,precursor,1.691856861114502,-1.5500524044036865
oRG_kriegstein,oRG,radial_glia,kriegstein,precursor,3.059689998626709,-1.7582950592041016
tRG_kriegstein,tRG,radial_glia,kriegstein,precursor,2.69248104095459,-2.0692551136016846
vRG_geschwind,vRG,radial_glia,geschwind,precursor,1.5070778131484985,-1.0413227081298828
vRG_kriegstein,vRG,radial_glia,kriegstein,precursor,2.5438127517700195,-2.0866734981536865
